PC_DESC,UNIT OF QTY,COUNTRY,QTY,VAL (MILL US $)
TEA,KGS,ARGENTINA,1617240,2.58
TEA,KGS,AUSTRALIA,45,0
TEA,KGS,AUSTRIA,1382,0
TEA,KGS,BELGIUM,77,0
TEA,KGS,CANADA,380,0.02
TEA,KGS,CHINA P RP,758478,2.59
TEA,KGS,COLOMBIA,413,0.01
TEA,KGS,CROATIA,200,0
TEA,KGS,CZECH REPUBLIC,526,0.01
TEA,KGS,ETHIOPIA,12,0
TEA,KGS,FRANCE,123,0.01
TEA,KGS,GERMANY,68855,0.59
TEA,KGS,HONG KONG,330,0.01
TEA,KGS,INDONESIA,665840,1.09
TEA,KGS,IRAN,2150692,2.96
TEA,KGS,ITALY,11525,0.08
TEA,KGS,JAPAN,9103,0.16
TEA,KGS,KENYA,3508302,11.15
TEA,KGS,KOREA RP,620,0.01
TEA,KGS,MALAWI,376440,0.89
TEA,KGS,MALAYSIA,23485,0.04
TEA,KGS,MOZAMBIQUE,20000,0.02
TEA,KGS,MYANMAR,19800,0.06
TEA,KGS,NEPAL,12711073,25.69
TEA,KGS,NETHERLAND,25230,0.1
TEA,KGS,PAPUA N GNA,22000,0.03
TEA,KGS,POLAND,827,0.01
TEA,KGS,RUSSIA,118598,0.22
TEA,KGS,RWANDA,2800,0.01
TEA,KGS,SINGAPORE,10745,0.29
TEA,KGS,SOUTH AFRICA,8712,0.04
TEA,KGS,SRI LANKA DSR,270988,1.72
TEA,KGS,SWEDEN,300,0
TEA,KGS,SWITZERLAND,549,0.01
TEA,KGS,TAIWAN,54734,0.15
TEA,KGS,TANZANIA REP,24720,0.06
TEA,KGS,THAILAND,510,0.01
TEA,KGS,U ARAB EMTS,27691,0.05
TEA,KGS,U K,96687,0.36
TEA,KGS,U S A,49252,0.42
TEA,KGS,UNSPECIFIED,234593,0.77
TEA,KGS,VIETNAM SOC REP,1383645,1.75
TEA,KGS,VIRGIN IS US,444,0
TEA,KGS,ZIMBABWE,660800,1.4
COFFEE,KGS,BAHARAIN IS,960,0
COFFEE,KGS,BRAZIL,88750,0.24
COFFEE,KGS,CHINA P RP,184126,0.68
COFFEE,KGS,COLOMBIA,102625,0.8
COFFEE,KGS,COTE D' IVOIRE,1145290,1.96
COFFEE,KGS,CZECH REPUBLIC,120,0
COFFEE,KGS,EGYPT A RP,360,0
COFFEE,KGS,ETHIOPIA,115600,0.3
COFFEE,KGS,FRANCE,35,0
COFFEE,KGS,GERMANY,7276,0.07
COFFEE,KGS,HONDURAS,755895,1.09
COFFEE,KGS,INDONESIA,7736408,16.66
COFFEE,KGS,ITALY,70844,0.57
COFFEE,KGS,JAMAICA,150,0.01
COFFEE,KGS,JORDAN,18000,0.07
COFFEE,KGS,KENYA,381360,0.83
COFFEE,KGS,KOREA RP,50380,1.2
COFFEE,KGS,LAO PD RP,507200,1.63
COFFEE,KGS,MALAYSIA,37054,0.36
COFFEE,KGS,MEXICO,552000,0.85
COFFEE,KGS,NETHERLAND,4220,0.02
COFFEE,KGS,NICARAGUA,769983,1.36
COFFEE,KGS,OMAN,8,0
COFFEE,KGS,PANAMA REPUBLIC,1620,0.02
COFFEE,KGS,PAPUA N GNA,1081600,1.91
COFFEE,KGS,PERU,1632563,2.42
COFFEE,KGS,POLAND,17447,0.14
COFFEE,KGS,RWANDA,300,0
COFFEE,KGS,SINGAPORE,2163,0.02
COFFEE,KGS,SOUTH AFRICA,204,0
